,Id,roberta_neg,roberta_neu,roberta_pos,Review,Stars,Label
0,1,0.001924533,0.02113351,0.976942,"Had our plumber install this as part of an entire bath renovation, he was done very quickly and it looks and works great. Soft-close lid is a bonus!",5,Positive
1,2,0.009022901,0.04369644,0.94728065,[This review was collected as part of a promotion.] I just installed this American Standard Reliant toilet. Everything I needed was included except for your water supply hose which I replaced along with a new water shutoff valve . Once I got the old toilet out it was fairly simple to install. Read your directions before you do anything and check that you have all the necessary tools and parts to complete the installation. I was finished installing in about 90 minutes. Make sure you check for leaks. My new toilet works great and is very quiet when filling up. Very modern looking and has a slow closing lid which works very smoothly. I highly recommend this American Standard toilet. I only use American Standard toilets because they are very dependable and never disappoint me !!!,5,Positive
2,3,0.010582987,0.069585346,0.91983163,"[This review was collected as part of a promotion.] Was easy to install. Everthing in tank was already put together. After old toilet was out only took about 30 minutes to install new one. Seems to have good flushing power with little water consumption. Everthing was included seat and wax ring, however i wish it would have given a newer style wax ring that was rubber and if put toilet down wrong you could reposition. Overall good product and very happy.",5,Positive
3,4,0.017189346,0.17034723,0.81246346,"[This review was collected as part of a promotion.] My hubby was the installer on this project. He found it easy to install that took about an hour. He liked the mechanism on the inside of the toilet. The blue water in the initial tank fill aided just in case there was a leak, which there wasn't. Instructions were clear and concise. The elongated shape gives the extra comfort everyone expects. Thankful a quality toilet seat was included. The flush has excellent water pressure to clear the bowl. The only reason for a four star is the color of the tank appears to be a darker color than the tank lid and toilet base. My other family members did need see the color difference, but judge for yourself in the pictures. Otherwise, a quality and perfectly functioning toilet.",4,Positive
4,5,0.017862398,0.15435685,0.8277808,"[This review was collected as part of a promotion.] This toilet replaced an older existing toilet in a smaller upstairs bathroom. It took about an hour including some necessary floor prep. It comes in three pieces - the base, the tank, and the seat. It's very easy to assemble. Two nuts and bolts and wax ring (included) to mount base to floor. Two nuts and bolts and rubber seal (included) to mount tank to base. Two nuts and bolts (also included) to mount seat to base. After connecting the water supply hose and turning the water on, I noticed it was quieter and a quicker refill than the previous toilet. Note: I needed a 12"" supply hose (which I had) instead of the old 9"" one. Be careful trimming the base mounting bolts - I recommend a small to medium pair of bolt cutters. I didn't need to adjust the water level, but the instructions explain how to do it. I'm very pleased with the new toilet.",5,Positive
5,6,0.0031868464,0.029538415,0.9672747,"[This review was collected as part of a promotion.] Nice looking toilet with good bowl design, would install another anytime! Came with everything I needed to instal except the supply line which made install a breeze. Came with a nice slow close seat as well. Flushes great even with a standard 2” flush valve.",5,Positive
6,7,0.03038508,0.14799154,0.8216234,"[This review was collected as part of a promotion.] I replaced a bathroom toilet the old one was 18 yrs old and was becoming difficult to keep clean. The installation went very smoothly all I needed was provided with the toilet including a new wax seal. The instruction were clear and easy to follow. Accessing and tightening the nuts connecting the tank to the toilet was a bit tricky but not too bad. Overall a very easy installation. The new toilet is now easier to clean, quieter and uses less water for what appears to be a better flush. So I am very happy with the final installation. The most difficult part was removing the old toilet as the previous installation used a lot of caulk around the toilet and I had to force a chisel under the old toilet. Once this was removed everything associated with the new installation went smoothly.",4,Positive
7,8,0.0048799785,0.074545994,0.92057407,"[This review was collected as part of a promotion.] Because I have 4 grandkids that coming home frequently, I found this toilette ideal because its 15 inches height. Also comes with slow close seat avoiding the noise. Super shining white and well designed.",5,Positive
8,9,0.0031055864,0.0389086,0.95798576,[This review was collected as part of a promotion.] We installed this toilet in the guest bathroom. it was easy to install and the fit was perfect. Cleaning is easy except around the bottom where dirt collect in the design. We like that it is smaller fit for the confined space. Overall we are happy with this product.,4,Positive
9,10,0.0029133866,0.02469173,0.97239494,[This review was collected as part of a promotion.] The Reliant Toilet I found to be an overall good toilet. It has a strong flush . It’s appealing to look at . It was easy to assemble by myself and came packed neatly and safe with no damage. It works perfectly and I would recommend to anyone.,5,Positive
