,Id,roberta_neg,roberta_neu,roberta_pos,Review,Stars,like,dislike,Label
0,1,0.5884811,0.29416627,0.11735259,"Inexpensive toilet, seems to work fine. The seat is very uncomfortable however so I will be buying a new soft close seat that is hopefully more comfortable to sit on.. I don’t like that the tank sits out so far from the wall. Now I have a big gap and have to find something to cover that area because it looks ridiculous.",4,6,2,Negative
1,2,0.033480246,0.16894613,0.7975736,"With the mixed reviews I was expecting some kind of complication, but there was none. This was a self install, for my son's bathroom. Nothing broke or missing when unpacking (albeit the box was banged up). Instruction pamphlet was helpful, installed without problem. The pre-installed flush mechanism operates (after required adjustment) with no problem. Flushes well, only need to flush one time. It's been nearly one month since install and no problems thus far. The toilet seat is a bit flimsy but...",4,41,8,Positive
2,3,0.31215993,0.38711745,0.30072266,"After doing research to find the best bang for my buck I purchased this toilet and I'm glad I did. I like the taller height, it seems weird to sit on the standard size after purchasing this toilet. After a couple months satisfaction and no problems I purchased 2 more to install in the other bathrooms. I would disagree with a few of the comments of having to flush twice, I have not had this trouble. The flush seems powerful to flush everything down so I'm not sure if they are commenting on the wrong toilet or maybe they don't have very high water pressure.......idk. I agree with everyone on the toilet seat that is supplied with the toilet, its junk!",5,119,15,Neutral
3,4,0.035182405,0.27865195,0.68616563,I bought two of these to replace 16 year old toilets as my water bill is getting higher monthly in Florida. I put good wooden seats on them with silicone rings for protective support and have had no problems. I also purchased a jumble wax ring plus used the standard one for each toilet as set them on ceramic tile floors over a concrete foundation slab. I put a small squirt of Dawn liquid dish detergent in them and swirl the toilet brush around to clean them. I have hard water here without a water softener and have no rust stain or scaling issues like I did with my old toilets. The extra height makes a huge difference as we get older.,5,136,25,Positive
4,5,0.011665119,0.0921414,0.8961935,"I was looking for an ADA height compliant toilet. I purchased this one after extensive search for a good name brand, good features, and good value. Included with the toilet are the wax ring, hardware, and seat (the seat isn't too comfortable but you can get used to it) that make this an even better bang for my buck. 4 stars for the design b/c of the toilet seat. Otherwise, the toilet has an excellent design. Would purchase more of the same if the need arises. Pros: Excellent water circulation, quiet flush, one flush is all it takes, good design, easy installation, everclean bowl. Cons: None after daily use for 2 months.",5,167,23,Positive
5,6,0.7689257,0.19071108,0.040363163,"I like the facts that this toilet uses very little water and that it is chair height. I don't like the fact that it needs to be cleaned EVERY Day. When it flushes the water doesn't swirl like most toilets do. In stead of swirling it bubbles up. Looks pretty darn gross when there is solid waste in the bowl and this type of water action doesn't do much for cleaning the sides of the bowl, therefore It needs to be cleaned every day. There is just no force behind the water even when it goes into the bowl from the tank. I have had two previous low flow toilets in another residence and neither of them were as bad as this one. Wish I had chosen a different one.",1,81,19,Negative
6,7,0.17266394,0.33624548,0.49109054,"A couple of weeks ago we picked up this toilet after reading mostly good reviews. We needed a toilet with a minimal depth measurement for a small bathroom. We had it installed four days ago. The size was great, it was as good looking a toilet as any, and it was comfortable. Unfortunately, it did NOT get the job done. We made all of the appropriate adjustments but the level of flush power was never more than zero. It couldn't even take down one extra square of tp. Judging by the recent one star reviews this wasn't the only defective one. Thankfully Lowes let us return it and we spent a little more to get a functional toilet.",1,70,12,Positive
7,8,0.9169251,0.07207725,0.010997666,"When flushing, it only filled the basin, but wouldn't flush the waste out. The only way it would flush was when we held the handle down. In speaking with American Standard, we determined that it must have a bad trap in the toilet itself. Very disappointing. The other reviews are decent (for the most part) so we must have gotten a lemon. Apart from that, this model doesn't clean itself really well. When flushing waste, it always leaves bits on the sides of the stool. In the 2 weeks we had it, we found that we had to continually clean the stool to keep it looking decent. In the end, we are obviously very disappointed.",1,28,2,Negative
8,9,0.9537352,0.039751735,0.006513088,"I had to replace my older toilet and found this one online. I wish I had never purchased it! As soon as my plumber left it start ""running."" I haven't had this piece of crap a week and the plumber has been here just about every other day for the same problem! Today he's replacing the ""guts"" in the tank. Everything is so cheaply made that different parts break as soon as you touch them! Then there is the seat . . . another cheap piece of crap! If you sit on the seat for longer than 30 seconds it practically rips the skin off the back of your thighs! If my plumber can't fix it today I'm be buying another toilet . . . made by Kohler!",1,20,6,Negative
9,10,0.05372636,0.20396191,0.7423117,"I read all the hype on the box and sounded impressive. Install was easy enough, no problems. Uses a lot less water than the old one of course since its new. was impressed reading about the no stain feature so that was the main reason to purchase this model. Well, waste still sticks to the bowl since it doesn't hold much water and the flush isn't enough to really clean the bowl. Could have got same poor flush with cheaper model I guess. Only had trouble flushing one time, which is far better than the old one of course. Still have to brush the water ring just like the old one, Wife likes the taller seat height which still works well. Its an ok unit but not at that price. Thats my 2 cents",3,62,10,Positive
10,11,0.7966711,0.17070642,0.032622512,I bought two Mainstream White 1.28 GPF High Efficiency WaterSense Round 2-Piece Toilets. One flushes very well the other not good at all. You have to flush it about four times before it works. I know it is not the line because the old toilet flushed well. We remodeled two bathrooms and wanted high seat toilets so I purchased two of the same model. Now I have to take one back up and return it to Lowes for an exchange. I am not impressed with American Standard to say the least. This is a lot of trouble and expense on my part. I was told a cheaper model was just as good but I had confidence in American Standard. Boy was I wrong! It has been installed just four days now.,1,38,15,Negative
11,12,0.022034226,0.10671452,0.8712512,"The first time I flushed this after I installed it I was not sure it could handle everything on one flush, but after having it for a week, I never had a problem with it. In fact the toilet it replaced clogged up a lot, and used more water. This one never has so far, and it has flushed everything I have thrown at it. I am amazed that it can use so little water, the tank over flow is only half way to the top of the tank, but it does what it needs to do. I am so impressed, I just bought 2 more for my sisters house. The seat's a little flimsy, but big deal, 10 bucks takes care of that.",5,44,6,Positive
12,13,0.19036125,0.39212433,0.4175144,"I purchased this toilet to replace an old one which had developed a leak due to a crack in the tank. I installed it only to my dismay it had some sort of leak. No matter what I did, I found a small puddle of water on the floor the next day. I had to completely disassemble the unit, re-package it in the original box and return it to the store for an exchange. The store was extremely gracious and exchanged it with no problem. The only problem was the inconvenience of having to perform the job twice. The replacement toilet so far is performing well, no leaks.",4,27,1,Positive
13,14,0.041407995,0.22802673,0.7305653,"We were looking for a taller toilet because my wife has had both knees replaced. After reading all the reviews we decided on this one and are very happy with the decision. Those who have reported poor flushing must have not adjusted the water level properly because we have not experienced any problems. Now there are only the two of us so I cannot comment on how it would be with a family of youngsters but it seems that it would be OK. The toilet seat is cheap but fortunately the old one, purchased new last year, fits well. The installation went well and I see no need for an extra wax ring, but you can always get one and take it back if not needed. Buy the way veterans and active military - show your card at checkout.",5,46,7,Positive
14,15,0.37322223,0.4581213,0.1686565,"Just installed to replace a low flow, one piece low boy toilet. Had to remove excess porcelain around the toilet seat holes to get the seat to fit straight. Also had toilet rock problems that did not exist with old one. A standard wax ring nor an over-sized wax ring would not work due to the deep recess of the mating ring on the bottom of the fixture; had to install a spacer ring. This wasn't an issue with the original fixture. So far, flush seems weak and the 'hold the handle' complaint is present. I have two other AmerStd toilets (Cadet model) that seem much more powerful.",3,37,6,Neutral
15,16,0.038535506,0.15412176,0.8073427,"I had a Kohler which broke, so I need a toilet quickly. I drove to Lowe's as someone recommended an American Standard. I did not want to spend a lot of money so I saw the mainstream for $139. Had it installed same day. It's only been 1 day, but the as soon as it was installed I dropped a deuce . I flushed with great anxiety , but it went down like a submarine. It has a nice quiet flush. I also tried throwing baby wipes in for test flushes....no problem. My Kohler was a 1.6 GPF and this one is a 1.28 GPF. The Kohler would have clogged. I am very impressed with its flushing power. I had the installation guy set the float up high so I get some extra water in the tank. Anyway I'm very impressed so far.",5,36,8,Positive
16,17,0.9438567,0.04924917,0.0068941447,"These toilets do not flush everything down. I have had one installed for about 6 months in a guest bathroom used occasionally. Every time it has to flush something, you have to grab a plunger, because the odds are, it will not go down. This is one of the worse flushing toilets I have ever used. The only thing ""Standard"" about this toilet is, you will have to flush twice to get anything down. Both of the toilets have very poor flushing power. I have tried everything. On Easter Day, I had my son to take the toilet off the wall, and put a new wax ring down, in case it didn't have a good seal. That did not help at all. My only option left before buying new toilets, is to buy a Fill Valve replacement kit and see if that helps. I am very aggravated and disappointed.",1,33,1,Negative
17,18,0.2703433,0.5048749,0.22478177,"I had a good recc. on this from a friend, and knew it would be the next one I put in. After it was in - I was starting to fear I had made a mistake. I put the tank on and filled it with water - and it hardly did anything. I went against my instincts and instead of fiddling with things in the tank flushed it again about three times. It started to act normally after all of the water levels for bowl and tank had equalized. I know previous reports say it 'feels like there isn't enough water'. I really wanted to try to crank that water level up out of instinctt. The water flushes from the front of the trapway and pushes everything straight back. At 1.28 gal it does the trick -but doesn't sound impressive or look impressive. It just works. I was speculative of it for an entire day and a half - but no one in the family seems to have trouble.",4,33,0,Neutral
18,19,0.33213732,0.46184927,0.20601341,"I installed this unit a week ago, installation was very easy (less than one hour). Setting the float to fill 3/8 "" below the overflow tube height as stated doesn't create enough power to complete the flush. A higher water level hasn't helped either. Paper seems to want to stick in the 7:00 location of the bowl. Toilet seat lid is so thin it buckles if you sit on it. Not a bad unit but not as the main toilet of the house. Get a second ""wax only"" ring in addition to the supplied ring for the installation, more wax is better than not enough.",2,60,11,Neutral
19,20,0.76566917,0.21172324,0.022607628,"After installing the Mainstream totlet it leaked at the water closet bolts. I call American standard maincompany and informed them of the result. They informed me that the assembly instruction were wrong and that I am missing some. The part are in the process of being. At present we are pailing water into the bow to flush the unit. I am suspecious that all of the units at Lowes have the same defect. I would appreciate it if there was credit for my troubles, as I will have to reassembly the unit with the new missing parts and the inefficient of dumping water into the totlet bow and water damage to the bathroom floor. ( The running water to the totlet is cut off.)",1,4,1,Negative
20,21,0.07222757,0.38315448,0.54461795,"I replaced an original toilet in my house (built in 1971) with this model in December 2016. We are getting a second one to replace another original toilet even though it is still working. The new one uses a LOT less water and we like the higher height. It was very easy to switch. We did purchase the flexible rubber ring instead of using a wax ring to seal it to the drain. When setting the toilet and you don't align it correctly the first time, the wax ring can get deformed and may cause it to leak. The flexible one will retain its shape and seal the toilet to the floor drain.",5,6,0,Positive
21,22,0.4314677,0.42748213,0.14105016,"This went back the same day. 1) First one purchased, the tank was cracked in two places. Lowe's let us get another in it's place. 2) Too much gap between the tank and the bowl. Also, too much gap between the tank and the wall. This was to replace an old American Standard toilet that had a much larger tank. I know there are things you can shim it up with in both places, but the tank never really seated on the bowl properly and it leaked. We were worried the first time someone leaned against the back of the toilet it would crack and break, our plumber agreed. There is no instance that I would recommend this product to anyone. I would rather use our camping toilet. We ended up increasing our budget for a Kohler 1-piece design. It was well worth the extra money.",1,16,1,Negative
22,23,0.6676076,0.27652836,0.055864006,"I don't understand the discrepancy between reviews. Most are overall positive, but my experience matches the negative reviews. Are there two different toilets being sold as this model? I have barely used it, but it routinely takes three or four flushes to finish the job, and that's after significantly raising the water level in the tank (probably using over 2 gallons/flush instead of the advertised 1.28). I should have either spent more for a toilet that works right or less, because I can't imagine the cheaper ones are any worse.",1,69,19,Negative
